prof,gender,class,class_abrev,review_grade,review_text
Molly Fox,NA,Selected Topics in Biological Anthropology: Evolutionary Medicine,ANTHRO 129,A+," Loved this class!!! The lectures were  amazing!! There was definitely a lot of material being covered in each lecture, so note-taking wise there was a lot to write down! Here is a breakdown of the class: 10 Weekly Quizzes: 5 points each Read the Syllabus: 1 point Intro Video: 3 points Genetics Interview Project: 20 pointsReproduction Interview Project: 20 pointsFinal Paper: 20 pointsTotal: 114 points  The Interview Projects I found to be fun and honestly I learned so much about the people I chose to interview. Don't worry they weren't super crazy time consuming, they basically were you talking about the important points of your interview and you tying those points to the lecture material. The final paper was based on a topic of your choice! Overall, the weekly quizzes were super easy and you didn't really need to do the readings! Definitely recommend this class!"
Molly Fox,NA,Selected Topics in Biological Anthropology: Evolutionary Medicine,ANTHRO 129,A,"This is a FANTASTIC class. I have never felt more engaged and excited to learn without the pressures of having to memorize everything and write every single word down. This is the first class I have ever taken and appreciated for the joy of learning itself. Dr. Fox is so wonderful, and this is definitely my favorite class of my college career so far."
Molly Fox,NA,Selected Topics in Biological Anthropology: Evolutionary Medicine,ANTHRO 129,A+,I think Dr. Fox is a fantastic professor! Her lectures were extremely engaging and Anthro 129 was one of the most interesting classes I took at UCLA. She discusses topics in a very in-depth and interdisciplinary way and I think anyone who has an interest in medicine would get something from this class. She clearly cares a lot about the students in her class and was readily available in office hours. I even told her about a performance I was involved in at UCLA and she attended with her husband.
Katja Elisabet Antoine,NA,Selected Topics in Cultural Anthropology,ANTHRO 139,A,"This is the sort of professor and class that makes me excited to be going to UCLA. The material was engaging, the lectures were thought provoking, and the professor was top-notch."
Katja Elisabet Antoine,NA,Selected Topics in Cultural Anthropology,ANTHRO 139,A,"Took this as Race and Gender in Comedy, which was a fantastic introduction to race and gender studies. We had about 2-4 articles of reading per week, all uploaded on CCLE. Never had to buy any materials for this class, and Professor Antoine is very considerate and accommodating  to everyone's needs. I loved how the Professor fostered a safe and open environment for discussion of sensitive topics which are relevant to everyone, both through class discussion and weekly reflections. We had one midterm exam and a final paper, which weren't too hard if you kept up with readings and lectures. I really loved this class and recommended it and the readings from it to multiple people when I was taking it, and will continue to do so going forward. 10/10 would take again"
Hannah Appel,NA,Globalization: Contemporary Issues,GLBL ST 100B,A+,"Professor Appel is by far the most amazing professor I have ever had. I took her IDS 1 class last quarter and learned so much, definitely use her office hours and ask questions. She's very clear and really politically active. I have nothing but good things to say about her! The midterm was an in class written essay (4 question I believe) and the final was a group project. She's AMAZINGG....it was like watching a TEDTalk every lecture"
Hannah Appel,NA,Globalization: Contemporary Issues,GLBL ST 100B,A,"(Upon taking it, it's been renamed to Global Studies 104) Quite frankly I'm finishing up my 2nd year here and have never written one of these reviews but Prof. Appel deserves it. We started this quarter in the middle of a pandemic. Prof Appel was very accommodating (you'd be surprised how many professors weren't) and ensured that if we were consistently not turning in work her or a TA would reach out, concerned about our well-being. Content-wise, this has been my favorite class so far. She's taught me to look at culture in so many different ways with varying implications of each which I was surprised and elated at considering how much overlap there is in other GS courses. I even listened to a few lectures with my mom (who is an accountant and not at all a humanities/social science type person) who liked both what she had to say and how she said it. Starting this class during a pandemic and ending in a time of civil unrest has been interesting and of course, like always, this class was accommodating to the students and didn't prioritize grades over the lives of millions of Americans currently at stake. Even in her emails Prof. Appel provided resources for students that wanted to help the movement and was apart of the coalition of teachers that demanded that UCLA answer to why their facilities were used by LAPD to detain their own students. I'm not sure how this class looks in a completely different world setting but I can assure you that Prof. Appel is awesome."
B.A. Hauser,NA,Selected Topics in Biological Anthropology,ANTHRO 129,A,"So this review is actually for Anthro 1 - Human Evolution, which I took with Prof. Brooke Hauser (she also goes by Brooke Scelza). It was a great class, the professor is very fair on grading and the subject matter is very interesting. Her research, which she did with the Himba people of southern Africa, was also super cool, especially how she integrates concepts, photos, and stories from her research into the course.  I'll be taking another class with her next quarter and I'm looking forward to it!"
Jason De León,NA,Selected Topics in Cultural Anthropology,ANTHRO 139,A," Hands down the best professor I've had at UCLA. Professor De Leon's lectures are always very engaging! In addition, he is extremely understanding and considerate of students. He did not have us purchase any additional class material/books. He is passionate about what he does, which makes his lectures even more fun. I highly recommend taking ANTHRO 139 with Professor De Leon.   P.S. He even brought a legend to play for us and speak with us. (Guest Lectures)"
Jason De León,NA,Selected Topics in Cultural Anthropology,ANTHRO 139,A+,"This class was easy, but I still learned a lot. He starts every lecture with music, and has guest speakers. He doesn't make you purchase a book. Jason de Leon is literally the  chillest professor ever."
