
Cigarette Sales (per Capita) 	Bladder Cancer Deaths (per 100 Thousand) 
18.2	2.9
25.82	3.52
18.24	2.99
17.38	2.47
24.66	2.99
17.42	2.54
29.42	3.1
26.6	3.54
35.55	3.16
21.64	2.78
27.85	3.16
34.49	2.84
27.89	2.51
22.14	2.84
33.48	2.56
27.17	2.29
26.46	2.56
32.51	2.33
26.49	2.09
25.81	2.33
31.59	2.13
25.84	1.93
42.4	6.54
28.64	5.98
21.16	2.9
37.1	4.41
25.06	4.04
18.52	1.96
43.69	5.63
33.16	5.37
27.43	3.97
39.63	4.66
30.42	4.49
25.41	3.54
36.08	4.01
28.02	3.89
23.63	3.25
32.98	3.57
25.92	3.49
22.08	3.06
30.26	3.27
24.08	3.22
20.73	2.92
27.88	3.07
