name,link
A&O SCI,https://www.bruinwalk.com/search/?category=classes&dept=0
AERO ST,https://www.bruinwalk.com/search/?category=classes&dept=9
AF LANG,https://www.bruinwalk.com/search/?category=classes&dept=10
AFRC ST,https://www.bruinwalk.com/search/?category=classes&dept=11
AFRKAAN,https://www.bruinwalk.com/search/?category=classes&dept=12
AFRO-AM,https://www.bruinwalk.com/search/?category=classes&dept=13
AM IND,https://www.bruinwalk.com/search/?category=classes&dept=14
AN N EA,https://www.bruinwalk.com/search/?category=classes&dept=15
ANES,https://www.bruinwalk.com/search/?category=classes&dept=16
ANTHRO,https://www.bruinwalk.com/search/?category=classes&dept=17
APPLING,https://www.bruinwalk.com/search/?category=classes&dept=19
ARABIC,https://www.bruinwalk.com/search/?category=classes&dept=20
ARCHEOL,https://www.bruinwalk.com/search/?category=classes&dept=21
ARCH&UD,https://www.bruinwalk.com/search/?category=classes&dept=22
ARMENIA,https://www.bruinwalk.com/search/?category=classes&dept=23
ART,https://www.bruinwalk.com/search/?category=classes&dept=24
ART HIS,https://www.bruinwalk.com/search/?category=classes&dept=25
ART&ARC,https://www.bruinwalk.com/search/?category=classes&dept=26
ASIAN,https://www.bruinwalk.com/search/?category=classes&dept=27
ASIA AM,https://www.bruinwalk.com/search/?category=classes&dept=28
ASTR,https://www.bruinwalk.com/search/?category=classes&dept=29
A&O SCI,https://www.bruinwalk.com/search/?category=classes&dept=30
BIOENGR,https://www.bruinwalk.com/search/?category=classes&dept=32
BIOL CH,https://www.bruinwalk.com/search/?category=classes&dept=33
BIOMATH,https://www.bruinwalk.com/search/?category=classes&dept=34
BIOMED,https://www.bruinwalk.com/search/?category=classes&dept=35
PBMED,https://www.bruinwalk.com/search/?category=classes&dept=36
BMD RES,https://www.bruinwalk.com/search/?category=classes&dept=37
BIOSTAT,https://www.bruinwalk.com/search/?category=classes&dept=38
BULGR,https://www.bruinwalk.com/search/?category=classes&dept=39
C&EE ST,https://www.bruinwalk.com/search/?category=classes&dept=40
CH ENGR,https://www.bruinwalk.com/search/?category=classes&dept=41
CHEM,https://www.bruinwalk.com/search/?category=classes&dept=42
CHICANO,https://www.bruinwalk.com/search/?category=classes&dept=43
CHIN,https://www.bruinwalk.com/search/?category=classes&dept=44
CIVIC,https://www.bruinwalk.com/search/?category=classes&dept=45
C&EE,https://www.bruinwalk.com/search/?category=classes&dept=46
CLASSIC,https://www.bruinwalk.com/search/?category=classes&dept=47
COMM,https://www.bruinwalk.com/search/?category=classes&dept=48
COM HLT,https://www.bruinwalk.com/search/?category=classes&dept=49
COM LIT,https://www.bruinwalk.com/search/?category=classes&dept=50
C&S BIO,https://www.bruinwalk.com/search/?category=classes&dept=51
COM SCI,https://www.bruinwalk.com/search/?category=classes&dept=52
CAEM,https://www.bruinwalk.com/search/?category=classes&dept=53
CZCH,https://www.bruinwalk.com/search/?category=classes&dept=54
DENT,https://www.bruinwalk.com/search/?category=classes&dept=55
DESMA,https://www.bruinwalk.com/search/?category=classes&dept=56
DIS STD,https://www.bruinwalk.com/search/?category=classes&dept=57
DUTCH,https://www.bruinwalk.com/search/?category=classes&dept=58
EPS SCI,https://www.bruinwalk.com/search/?category=classes&dept=59
EA STDS,https://www.bruinwalk.com/search/?category=classes&dept=60
EE BIOL,https://www.bruinwalk.com/search/?category=classes&dept=61
ECON,https://www.bruinwalk.com/search/?category=classes&dept=62
EDUC,https://www.bruinwalk.com/search/?category=classes&dept=63
EC ENGR,https://www.bruinwalk.com/search/?category=classes&dept=64
ENGR,https://www.bruinwalk.com/search/?category=classes&dept=65
ESL,https://www.bruinwalk.com/search/?category=classes&dept=67
ENGCOMP,https://www.bruinwalk.com/search/?category=classes&dept=68
ENVIRON,https://www.bruinwalk.com/search/?category=classes&dept=69
ENV HLT,https://www.bruinwalk.com/search/?category=classes&dept=70
ENV SCI,https://www.bruinwalk.com/search/?category=classes&dept=71
EPIDEM,https://www.bruinwalk.com/search/?category=classes&dept=72
ETHNOMU,https://www.bruinwalk.com/search/?category=classes&dept=73
EURO ST,https://www.bruinwalk.com/search/?category=classes&dept=74
FAM MED,https://www.bruinwalk.com/search/?category=classes&dept=75
FILIPNO,https://www.bruinwalk.com/search/?category=classes&dept=76
FILM TV,https://www.bruinwalk.com/search/?category=classes&dept=77
FRNCH,https://www.bruinwalk.com/search/?category=classes&dept=78
CLUSTER,https://www.bruinwalk.com/search/?category=classes&dept=79
GEOG,https://www.bruinwalk.com/search/?category=classes&dept=80
GERMAN,https://www.bruinwalk.com/search/?category=classes&dept=82
GRNTLGY,https://www.bruinwalk.com/search/?category=classes&dept=83
GLBL ST,https://www.bruinwalk.com/search/?category=classes&dept=84
GREEK,https://www.bruinwalk.com/search/?category=classes&dept=85
HLT SER,https://www.bruinwalk.com/search/?category=classes&dept=86
HEBREW,https://www.bruinwalk.com/search/?category=classes&dept=87
HIN-URD,https://www.bruinwalk.com/search/?category=classes&dept=88
HIST,https://www.bruinwalk.com/search/?category=classes&dept=89
HNRS,https://www.bruinwalk.com/search/?category=classes&dept=90
HUM CS,https://www.bruinwalk.com/search/?category=classes&dept=91
HUM GEN,https://www.bruinwalk.com/search/?category=classes&dept=92
HNGAR,https://www.bruinwalk.com/search/?category=classes&dept=93
I E STD,https://www.bruinwalk.com/search/?category=classes&dept=95
INDO,https://www.bruinwalk.com/search/?category=classes&dept=96
INF STD,https://www.bruinwalk.com/search/?category=classes&dept=97
INTL DV,https://www.bruinwalk.com/search/?category=classes&dept=98
IRANIAN,https://www.bruinwalk.com/search/?category=classes&dept=99
ISLAMIC,https://www.bruinwalk.com/search/?category=classes&dept=100
ISLM ST,https://www.bruinwalk.com/search/?category=classes&dept=101
ITALIAN,https://www.bruinwalk.com/search/?category=classes&dept=102
JAPAN,https://www.bruinwalk.com/search/?category=classes&dept=103
JEWISH,https://www.bruinwalk.com/search/?category=classes&dept=104
KOREA,https://www.bruinwalk.com/search/?category=classes&dept=105
LBR&WS,https://www.bruinwalk.com/search/?category=classes&dept=106
LATIN,https://www.bruinwalk.com/search/?category=classes&dept=107
LATN AM,https://www.bruinwalk.com/search/?category=classes&dept=108
LAW,https://www.bruinwalk.com/search/?category=classes&dept=109
UG-LAW,https://www.bruinwalk.com/search/?category=classes&dept=110
LGBTS,https://www.bruinwalk.com/search/?category=classes&dept=111
LIFESCI,https://www.bruinwalk.com/search/?category=classes&dept=112
LING,https://www.bruinwalk.com/search/?category=classes&dept=113
LTHUAN,https://www.bruinwalk.com/search/?category=classes&dept=114
MGMT,https://www.bruinwalk.com/search/?category=classes&dept=115
MAT SCI,https://www.bruinwalk.com/search/?category=classes&dept=116
MATH,https://www.bruinwalk.com/search/?category=classes&dept=117
MECH&AE,https://www.bruinwalk.com/search/?category=classes&dept=118
MED HIS,https://www.bruinwalk.com/search/?category=classes&dept=119
MED,https://www.bruinwalk.com/search/?category=classes&dept=120
MIMG,https://www.bruinwalk.com/search/?category=classes&dept=121
MIL SCI,https://www.bruinwalk.com/search/?category=classes&dept=122
M PHARM,https://www.bruinwalk.com/search/?category=classes&dept=123
MOL BIO,https://www.bruinwalk.com/search/?category=classes&dept=124
MCD BIO,https://www.bruinwalk.com/search/?category=classes&dept=125
